question;answer;classifier_1;classifier_2;is_knowledge_base
Как войти в профиль, если при сканировании QR-кода не открывается страница входа?;Перейдите по ссылке http://rutube.ru/activate/ с любого устройства и введите 6-значный код с экрана телевизора. Если возникнут проблемы, напишите на help@rutube.ru;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Как восстановить пароль?;Нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как встроить на сайт приватное видео, доступное только по прямой ссылке?;Чтобы встроить видео, доступное только по прямой ссылке, понадобится ключ доступа. Его можно скопировать из прямой ссылки на видео. Шаг 1. Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q Шаг 2. Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки» Шаг 3. Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео. Все ключи видео начинаются с «/?p=». Если добавить на страницу код вставки без ключа доступа, видео не будет воспроизводиться. Если у вас возникли сложности, напишите нам на help@rutube.ru;ВИДЕО;Встраивание видео;1
Как вы осушествляете модерацию, это люди или машины?;Модерация бывает как ручной, так и автоматической.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
Как выбрать качество 4К в приложении RUTUBE на ТВ?;Сейчас воспроизведение видео в 4К есть только на приставках Apple TV, но очень скоро добавим такую возможность для остальных телевизоров и приставок.;ПРЕДЛОЖЕНИЯ;Плеер;1
Как вывести деньги?;Выплата произойдет, если на счету больше 3000 рублей. Выплаты начисляются нами раз в месяц в период с 20ого до 30ого числа. Подробнее о выплатах вы можете почитать в Оферте - https://rutube.ru/info/adv_oferta_summary/.;МОНЕТИЗАЦИЯ;Статистика по монетизации;0
Как выйти из акаунта в приложении студии?;"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Как выйти из аккаунта в приложении Студия RUTUBE?;"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как грузить ролики шортс на Rutube?;Загрузить ролики shorts можно: 1) Через сайт RUTUBE, нажав на значок загрузки со знаком «+» в правом верхнем углу страницы или по прямой ссылке: https://studio.rutube.ru/uploader/. 2) В мобильном приложении RUTUBE также через кнопку со знаком «+» в нижнем меню экрана. 3) В мобильном приложении Студия RUTUBE (на Android).;ВИДЕО;Загрузка видео;0
Как добавить временные интервалы;Перейдите в раздел «Видео» в Студии RUTUBE. Нажмите на видео, в которое хотите добавить тайм-коды. Добавьте тайм-коды в описание под видео. Необходимый формат: минуты: секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05. Первый эпизод должен начинаться с отметки 00:00. Перечислять эпизоды нужно в порядке их появления в видео. Эпизодов может быть от 2-;ВИДЕО;Загрузка видео;0
Как добавить к себе на сайт приватное видео?;Для встраивания видео с доступом по ссылке (приватное видео), вам потребуется ключ доступа. Его можно скопировать из прямой ссылки на видео. Как это сделать: Шаг 1. Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q Шаг 2. Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки» Шаг 3. Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео. Все ключи видео начинаются с «/?p=». Если добавить на страницу код вставки без ключа доступа, то видео воспроизводиться не будет. При возникновении сложностей пишите, мы поможем разобраться.;ВИДЕО;Встраивание видео;0
Как добавить тайм-коды под видео?;Перейдите в раздел «Видео» в Студии RUTUBE. Нажмите на видео, в которое хотите добавить тайм-коды. Добавьте тайм-коды в описание под видео.;ВИДЕО;Загрузка видео;1
Как долго рассматривается заявка на монетизацию?;Срок рассмотрения заявки до 30 дней. По результатам проверки всех необходимых документов ответ поступит на почту, указанную при подаче заявки, а также обновится информация в разделе «Монетизация» Студии RUTUBE: https://studio.rutube.ru/monetization Расчет Вознаграждения начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;1
Как долго рассматривается повторная заявка на монетизацию?;Срок рассмотрения повторной заявки также составляет 30 календарных дней.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;1
Как заблокировать чужой канал в сприложении студии;"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments";ПРЕДЛОЖЕНИЯ;Студия RUTUBE;0
Как завести канал на RUTUBE?;Канал создается автоматически при регистрации на сайте.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Как завести трансляцию на Рутубе?;"Чтобы запустить трансляцию необходимо установите программу для потокового вещания и авторизоваться на RUTUBE. Далее нажмите кнопку запуска эфира или перейдите по ссылке: https://rutube.ru/create-stream/, подтвердите номер телефона; настройте название, описание и категорию трансляции и скопируйте данные «Ключ трансляции» и «URL трансляции» в программу для потокового вещания.";ТРАНСЛЯЦИЯ;Управление трансляцией;0
Как загрузить видео в формате Shorts?;Shorts вы можете загрузить: На сайте RUTUBE — нажмите на значок загрузки со знаком «+» в правом верхнем углу страницы или перейдите по ссылке: https://studio.rutube.ru/uploader/. В мобильном приложении RUTUBE — нажмите на кнопку со знаком «+» в нижнем меню экрана. В мобильном приложении Студия RUTUBE на Android.;ВИДЕО;Загрузка видео;1
"Как загрузить видео, чтобы оно было ""shorts""?";Shorts загружается так же, как и обычные видео через значок загрузки «+» в правом верхнем углу страницы на сайте RUTUBE (https://studio.rutube.ru/uploader), либо в мобильном приложении RUTUBE в нижнем меню экрана, а также в приложении Студия RUTUBE на Android.;ВИДЕО;Загрузка видео;0
Как загрузить видеоролик на сайт?;"1. Зарегистрируйтесь или авторизуйтесь на RUTUBE. 2. Нажмите на значок загрузки (символ «плеера со знаком плюс») в правом верхнем углу экрана или пройдите по этой ссылке: https://studio.rutube.ru/uploader/ 3. Выберите на вашем устройстве видеофайл, который хотите загрузить. 4. Укажите название и описание, выберите категорию ролика. 5. Настройте доступ к видео. Если хотите, чтобы ваш ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может ею поделиться с другими.";ВИДЕО;Загрузка видео;1
Как загрузить видос в 360?;Загрузите его как обычное видео и направьте нам ссылку, мы поможем сделать его в нужно формате.;ВИДЕО;Загрузка видео;0
Как загрузить мой shorts в подборку на главной странице?;Алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы. Чтобы увеличить шансы попадания вашего ролика в этот раздел, рекомендуем регулярно публиковать Shorts на вашем канале.;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;0
Как зайти на телевизоре? сканирую код, он не работает;Попробуйте, пожалуйста, перейти по ссылке: http://rutube.ru/activate/ с любого устройства и на ней ввести 6-значный код с экрана телевизора.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;0
Как закрепить видео кстати?;"Зайдите в ""Настройки канала"" далее в раздел ""Видео на главной канала"", справа «Выбрать». Чтобы открепить или изменить закрепленное видео нажмите на 3 точки справа.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Как закрепить видео на канале?;"Зайдите в «Настройки канала» в Студии RUTUBE https://studio.rutube.ru/ Перейдите к блоку «Видео на главной канала». Нажмите справа кнопку «Выбрать». Чтобы открепить или изменить закреплённое видео нажмите на 3 точки справа. На канале можно сделать закреплённое видео для двух видов зрителей: для тех, кто еще не подписался на канал; для подписчиков.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как запустить приватную трансляцию?;Создайте трансляцию как обычно через Студию: https://rutube.ru/create-stream/ или по кнопке в правом верхнем углу сайта. Введите название трансляции, выберите тему и нажмите кнопку далее. В открывшейся странице запуска трансляции пока не нажимайте кнопку «Запустить трансляцию». Не закрывая вкладку создания трансляции, необходимо открыть в новой вкладке раздел «Видео» в Студии: https://studio.rutube.ru/videos, далее кликните на появившуюся там созданную трансляцию. В настройках «Ролика» (стрима) измените значение параметра доступа с «Открытый доступ» на «Доступ по прямой ссылке» и нажмите сохранить. Теперь необходимо перейти в OBS (или любая другая программа для ведения эфиров), возвращайтесь во вкладку со страницей трансляции и запускайте ее. Далее можете разослать ссылку на трансляцию вашим зрителям.;ТРАНСЛЯЦИЯ;Управление трансляцией;1
Как запустить трансляцию?;"1. Установите на ваш компьютер бесплатную программу для потокового вещания и записи видео OBS или любую другую, аналогичную ей; 2. Авторизуйтесь на RUTUBE; 3. Перейдите в раздел Студии RUTUBE 4. Нажмите на кнопку запуска прямого эфира, которая располагается в правом верхнем углу главной страницы Студии RUTUBE, или перейдите по этой ссылке https://studio.rutube.ru/create-stream; 5. Подтвердите ваш номер мобильного телефона* (в случае, если вы не делали этого ранее); 6. Вы попадете в раздел запуска трансляции, где вам необходимо вписать заголовок и краткое описание прямого эфира, выбрать категорию, параметры доступа и нажать на кнопку «‎Далее». После этого вы попадете в кабинет управления прямым эфиром, где можете настроить трансляцию и следить за статистикой; 7. Скопируйте данные из полей «‎Ключ трансляции» и «‎URL трансляции» и вставьте их в соответствующие поля в программе OBS (или ее аналоге); 8. Выставите дополнительные настройки: включите или отключите автостарт трансляции (в случае включения функции стрим начнется автоматически сразу после получения сигнала); включите или отключите чат (по умолчанию он остается включенным). Подробнее вы можете узнать, перейдя по ссылке https://rutube.ru/info/broadcast/. *В настоящий момент принимаются только номера телефонов с территории РФ";ТРАНСЛЯЦИЯ;Управление трансляцией;0
Как зарегистрироваться в приложении Студия RUTUBE?;Зарегистрироваться в приложении можно по номеру телефона или электронной почте.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Как зрителям будут видны действия пользователей, которых назначили на роли?;Все действия в рамках предоставленного уровня доступа будут выполняться от имени владельца канала. Для пользователей разницы в отображении не будет.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как изменить видеоролик?;Для этого авторизуйтесь на RUTUBE и перейдите в Студию: https://studio.rutube.ru/videos, зайдите на страницу ролика, который вы хотите изменить. Само видео нельзя редактировать, но можно поменять: название, описание, обложка ролика. Вы также можете поменять статус приватности ролика: скрыть или открыть для всех пользователей. Вы не можете изменить или заменить видеофайл, а также не получится убрать отметку «18+», если ее поставили модераторы.;ВИДЕО;Загрузка видео;0
Как изменить дату отложенной публикации?;Редактировать отложенную публикацию можно в разделе «Видео» в Студии RUTUBE по ссылке https://studio.rutube.ru/videos. Нажмите на нужный ролик и измените дату в поле «Момент публикации».;ВИДЕО;Загрузка видео;1
Как изменить мой ролик?;Авторизуйтесь на RUTUBE и перейдите в Студию: https://studio.rutube.ru/videos, зайдите на страницу ролика, который вы хотите изменить. Информация, доступная к изменению: название, описание, обложка ролика. Вы также можете поменять статус приватности ролика: скрыть или открыть для всех пользователей. Вы не можете изменить или заменить видеофайл, а также не получится убрать отметку «18+», если ее поставили модераторы.;ВИДЕО;Загрузка видео;1
Как изменить название моего канала на RUTUBE?;Изменить ваши личные данные, в том числе название канала (имя), вы можете во вкладке «Настройки канала» в Студии: https://studio.rutube.ru/channel-settings;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как изменить порядок видео на канале?;Зайдите в раздел «Видео» в Студии RUTUBE. Нажмите на видео и в блоке «Параметры доступа» выберите «Доступ по прямой ссылке». Проделайте то же самое со всеми видео. Чтобы задать новый порядок, меняйте доступ на «Открытый» у всех видео, начиная с того, которое должно быть последним. Самым первым роликом на канале будет отображаться тот, к которому вы откроете доступ в последнюю очередь.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как изменить привязанный к аккаунту номер телефона?;Изменить или привязать номер телефона, если изначально регистрация проводилась по e-mail, можно в вашем профиле: https://rutube.ru/profile.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как изменить свой номер?;"Изменить номер телефона можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на значок ""Карандаш"" в блоке ""Контактная информация"" и введя новый номер. После чего необходимо ввести код, который поступит на номер телефона.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Как именно выбираются ролики для раздела shorts?;Механизм попадания роликов в раздел Shorts происходит в соответствии с внутренними процессами платформы. Чтобы повысить вероятность размещения вашего видео в этом разделе, рекомендуем регулярно публиковать Shorts.;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;0
Как ине посмотреть аналитику по монетизации?;Вы можете посмотреть всю доступную аналитику в личном кабинете Студии RUTUBE в разделе «Монетизация»: https://studio.rutube.ru/monetization;МОНЕТИЗАЦИЯ;Статистика по монетизации;0
Как мне вывести средства с баланса в личном кабинете?;Баланс за месяц показов отображается в Студии RUTUBE в следующем месяце. Деньги придут на ваш банковский счёт через месяц после отображения баланса. Минимальная сумма выплаты — 3000 ₽. Например, за услуги оказанные в октябре, в ноябре в личном кабинете отобразился баланс заработанного за октябрь. До конца декабря заработанные деньги придут вам на счёт.;МОНЕТИЗАЦИЯ;Статистика по монетизации;1
Как мне завсти канал?;Канал создается автоматически при регистрации на сайте.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;0
Как мне зарегестроваться как правообладатель;Правообладателем контента может стать как его автор, так и любой другой человек. Если вы хотите зарегистрироваться в качестве правообладателя и у вас есть документы, которые подтверждают ваши права на контент, напишите письмо на partners@rutube.ru. Правообладатель имеет право стать партнером и получать доход посредством монетизации.;ОТСУТСТВУЕТ;Отсутствует;0
Как мне изменить мой ролик?;Авторизуйтесь на RUTUBE и перейдите в Студию: https://studio.rutube.ru/videos, зайдите на страницу ролика, который вы хотите поменять. Информация, доступная к изменению: название, описание, обложка ролика. Вы также можете поменять статус приватности ролика: скрыть или открыть для всех пользователей. Вы не можете изменить или заменить видеофайл, а также не получится убрать отметку «18+», если ее поставили модераторы.;ВИДЕО;Загрузка видео;0
Как мне лучше оформить свой канал?;Для этого нужно выполнить шесть простых действий, которые не менее важны для успеха вашего канала, чем ваши будущие видео. Настройки вашего канала доступны по ссылке: https://studio.rutube.ru/channel-settings Придумайте название канала. Напишите его кириллическими или латинскими буквами. Название канала — это то, как вас будут знать ваши зрители. Советуем придумать какой-нибудь запоминающийся псевдоним или подписаться вашим настоящим именем. Название будет отображаться на странице канала, под каждым вашим роликом, на карточке ролика в каталогах, а также рядом с любых из ваших комментариев. Выберете аватар канала. Если название канала — это ваше имя, то аватар — ваше лицо. По аватару вас будут узнавать — он будет отображаться рядом с названием. Вы можете подобрать любое изображение, которое вам нравится, но помните, что оно не должно восприниматься как оскорбительное. Если ваш канал представляет какую-либо организацию или бренд, советуем использовать ваш фирменный логотип. Загрузите обложку канала. Используйте для этого картинку в формате .jpeg размером не менее 2204 × 826 пикселей и весом не более 10 МБ. Обложка украсит главную страницу вашего канала сверху. Замечательно, если обложка и тематика канала будут соответствовать друг другу. Если вы не загрузите собственную обложку, по умолчанию отобразится картинка, нарисованная нашими дизайнерами. Добавьте описание канала. Поделитесь, о чём ваш контент, чтобы зрители могли сразу понять, насколько он подходит их интересам. Это может быть рассказ о вас, ваших интересах, тематике канала, бренде или ссылки на социальные сети и другие ресурсы. Добавьте ключевые слова для лучшей видимости в поисковой выдаче. Чем более емкое и грамотное описание вы составите, тем больший интерес ваш канал вызовет у зрителей. Закрепите важные видео. В Студии вы можете закрепить видео, которые будут отображаться вверху главной страницы вашего канала, всего их два типа: Видео для тех, кто ещё не подписался на канал: тут можно разместить, например, трейлер вашего канала для привлечения новых зрителей. Рекомендованное для подписчиков: а здесь делитесь самым актуальным и интересным со своей аудиторией. Важно: для возможности закрепления видео уже должны быть загружены на канал. Настройте автоматическую подпись для своих видео. Также в настройках канала можно создать постоянную подпись к видео – она будет автоматически отображаться в описании под всеми загружаемыми в дальнейшем роликами. Регулярность публикаций Составьте график публикаций, чтобы стабильно загружать контент и радовать своих зрителей новыми видео. Важно! Элементы оформления вашего канала не должны подпадать под категорию «18+» и нарушать законодательство Российской Федерации. На это могут пожаловаться другие пользователи, и, в случае, если жалоба окажется обоснованной, наши модераторы удалят некорректные материалы.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Как мне получать донаты за публикации?;Делайте интересный контент и общайтесь с вашими подписчиками. Включите функцию «Поддержать автора».;БЛАГОТВОРИТЕЛЬНОСТЬ ДОНАТЫ;Подключение/отключение донатов;1
Как мне получать пожертвования?;"Да, функция донатов на RUTUBE называется ""Поддержать автора""";БЛАГОТВОРИТЕЛЬНОСТЬ ДОНАТЫ;Подключение/отключение донатов;0
Как мне получить галочку на Рутуб? На Ютубе у меня 1000 подписчиков;Чтобы получить статус официального канала, необходимо подать заявку через Студию RUTUBE. Перейдите в раздел «Настройки канала» по ссылке https://studio.rutube.ru/channel-settings и нажмите «Подать заявку» в разделе «Статус официального канала». Следуйте инструкциям. Если такой возможности нет, отправьте письмо с заявкой и ссылкой на канал на адрес partners@rutube.ru, приложив гарантию правообладателя. Заявка для государственных учреждений и правообладателей доступны по ссылке: https://static.rutube.ru/static/studio/docs/entity.docx, а для публичных личностей — по ссылке: https://static.rutube.ru/static/studio/docs/individual.docx. Обратите внимание, если вы выдаёте себя за другое лицо или представляете чужой бренд, ваша заявка будет отклонена.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
Как мне правильно указать тайм-код?;Можете указать минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05. Первый эпизод должен начинаться с отметки 00:00. Перечислять эпизоды нужно в порядке их появления в видео. Эпизодов может быть от 2-х и больше.;ВИДЕО;Загрузка видео;0
Как мне пройти верефикацию?;Вы можете подать заявку на верификацию в Студии RUTUBE, через раздел «Настройки канала» по ссылке https://studio.rutube.ru/channel-settings: нажмите «Подать заявку» в разделе «Статус официального канала» и следуйте инструкциям. Если через Студию отправить заявку не получается, отправьте письмо с заявкой и ссылкой на канал на адрес partners@rutube.ru, приложив гарантию правообладателя. Заявка для государственных учреждений и правообладателей доступны по ссылке: https://static.rutube.ru/static/studio/docs/entity.docx, а для публичных личностей — по ссылке: https://static.rutube.ru/static/studio/docs/individual.docx. Обращаем внимание, если вы выдаёте себя за другое лицо или представляете чужой бренд, ваша заявка будет отклонена.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
Как мне сделать, чтобы мою трансляцию было не видно на канале?;Для этого создайте через Студию (https://rutube.ru/create-stream/) или кнопку на сайте трансляцию, введите название и описание. В параметре доступа нужно поменять с «Открытый доступ» на «Доступ по прямой ссылке». Далее можно запускать трансляцию и при необходимости отправить на нее ссылку нужным зрителям.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
Как мне сстудии посмотреть что мне ответили в комментариях, я не могу найти это в приложении айос;"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments";ПРЕДЛОЖЕНИЯ;Студия RUTUBE;0
Как мне стать правообладателем?;Если вы хотите зарегистрироваться в качестве правообладателя и у вас должны быть документы, которые подтверждают ваши права на контент, напишите письмо на partners@rutube.ru. Правообладатель имеет право стать партнером и получать доход посредством монетизации.;ОТСУТСТВУЕТ;Отсутствует;0
Как мне удалить видео из истории?;Перейдите в раздел «Моё» и на экране истории просмотра нажмите «Очистить историю».;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Как много можно плейлистоа?;до 500 плейлистов.;ВИДЕО;Загрузка видео;0
Как можно выйти со всех устройств в пиложении студии?;"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Как можно скачать видео;Сейчас такой возможности нет, но мы передали эту идею разработчикам.;ОТСУТСТВУЕТ;Отсутствует;0
Как написать обращение в поддержку через приложение Студия RUTUBE?;"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru";ОТСУТСТВУЕТ;Отсутствует;1
Как написать обращение в поддержку через приложение Студия RUTUBE?;"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru";ОТСУТСТВУЕТ;Отсутствует;1
Как настроить OBS Studio для проведения трансляций на RUTUBE?;Вывод 1.1 ТРАНСЛЯЦИЯ Управление битрейтом – CBR Битрейт – 6000 Kbps Интервал ключевых кадров – 1s (это обновление кадров) Предустановка использования ЦП– Slower Профиль – high 1.2 ЗАПИСЬ Кодировщик видео – выбрать в соответствии с имеющейся видеокартой Для NVIDIA есть соответствующие кодеки: -NVIDIA NVENC H.264 -NVIDIA NVENC HEVC Для других видеоадаптеров можно выбрать любой другой Управление битрейтом – CQP Значение CQ – 15 Интервал ключевых кадров – 2 s Предустановка – Медленное (хорошее качество) Регулировка – Высокое качество 1.3 БУФЕР ПОВТОРНА НЕ МЕНЯЕМ Аудио 2.1 ГЛОБАЛЬНЫЕ УСТРОЙСТВА АУДИО Микрофон/дополнительный звук - тут добавляем микрофон, который подключен к ПК, он будет основным микрофоном на трансляции 2.2 ИЗМЕРИТЕЛИ Скорость спада – быстро Тип измерителя пиков – Упрощенный Видео 3.1 Разрешение ставим, ориентируясь на разрешения вашего экрана ПК. Смотрим в настройках ПК разрешение экрана, выставляем такое же в первых двух полях – «Базовое разрешение» и «Разрешение выхода». 3.2 ФИЛЬТР МАСШАБИРОВАНИЯ Всегда ставим – Метод Ланцоша (Четкое масштабирование, 36 выборок) Важно – Фильтр нужно ставить тогда, когда базовое разрешение и разрешение выхода не совпадают. 3.3 ОБЩИЕ ЗНАЧЕНИЯ ЧАСТОТЫ КАДРОВ Ставим 60 кадров, на 30 кадрах нет смысла вести трансляцию, по крайней мере, игры на 30 кадрах стримить - плохая идея. 30 кадров – мало, есть вероятность, что картинка будет не очень плавная. 3.4 ГОРЯЧИЕ КЛАВИШИ Настраиваем по желанию, но не желательно, если нет опыта, потому что можно случайно завершить трансляцию. Пункты в разделе «Горячие клавиши» обновляются в зависимости от добавленных источников на главной странице ОБС. Например, добавляете устройство вывода «Камера», в Горячих клавишах появится пункт «Камера». Пункт добавляется с точно таким же названием как на главном экране. Спец. Возможности Не трогаем. Расширенные 5.1 ОБЩИЕ Приоритет процесса – Выше среднего 5.2 АВТОМАТИЧЕСКОЕ ПЕРЕПОДКЛЮЧЕНИЕ Ставим галочку в поле «Включить» Задержка повтора – 1 s Задержка потока – не трогаем, галочка не должна стоять Макс. повторных попыток – 25 (оставляем стандартное значение) После настройки всех настроек жмем «Применить», затем «Ок». Мы настроили программу, теперь нужно добавить Сцены и Источники. СЦЕНЫ Добавляем одну сцену. Называем ее, например, «Трансляция». ИСТОЧНИКИ Все источники добавляются на +. Добавляются любые по желанию, в зависимости от того, что вам нужно. Ниже описаны основные источники. 2.1 КАМЕРА Нажимаем на +, выбираем «Устройство захвата видео», переименовываем на «Камера». Ставим галочку в поле «Сделать устройство видимым». Выбираем камеру, ее настройки тут не трогаем. Нажимаем «Ок». Камеру можно отзеркалить. Для этого ПКМ (правая кнопка мыши) нажимаем на Камера – Преобразовать – Отразить по горизонтали. 2.2 ФОН Нажимаем на +, выбираем «Изображение». Можем назвать источник «Фон». Нажимаем на «Обзор», выбираем нужно изображение с вашего ПК, галочки не ставим. 2.3 ЗАХВАТ ОКНА Источник захватывает только открытые приложения. Например, браузер. 2.4 ЗАХВАТ ЭКРАНА Данный источник захватывает общую картинку вашего компьютера. 2.4 СБОР Если у вас настроен донат через сайт донатов, можно добавить плашку на стрим, которая будет отображаться в режиме реального времени. Сбор удобен тем, что зрители видят потребность и цель. Зрители не всегда читают описание трансляции;ТРАНСЛЯЦИЯ;Управление трансляцией;1
